id,original_title,release_date,release_year,runtime,vote_average
310135,Turbo Kid,2015-08-14,2015,95,6.6
355111,Barbie in Rock 'N Royals,2015-08-13,2015,84,6.3
335866,Circle,2015-10-02,2015,87,6.1
295592,Monkey Kingdom,2015-04-17,2015,81,6.3
335970,Joe Dirt 2: Beautiful Loser,2015-07-16,2015,107,4.2
366142,Minions: The Competition,2015-11-04,2015,4,5.9
310121,I'll See You in My Dreams,2015-05-15,2015,92,6.2
361263,Jesse Stone: Lost in Paradise,2015-10-18,2015,87,5.6
324308,Steve Jobs: The Man in the Machine,2015-08-07,2015,129,6.2
326923,Babysitter's Black Book,2015-02-21,2015,88,5.9
356842,The Ones Below,2015-10-14,2015,87,5.9
339530,Tremors 5: Bloodlines,2015-10-06,2015,99,5.1
331190,Captive,2015-09-17,2015,97,5.7
301729,Terminus,2015-01-30,2015,94,4.6
395883,Andron,2015-11-08,2015,100,4.7
356300,How to Plan an Orgy in a Small Town,2015-09-19,2015,101,4.7
218784,Freaks of Nature,2015-10-30,2015,92,5.6
310137,Reversal,2015-06-26,2015,80,5.4
342917,Batman Unlimited: Monster Mayhem,2015-08-18,2015,81,6.1
79698,The Lovers,2015-02-13,2015,109,4.6
337960,Holding the Man,2015-08-27,2015,128,7.9
296130,Harbinger Down,2015-08-07,2015,82,4.2
327418,Batman Unlimited: Animal Instincts,2015-05-12,2015,78,5.8
246133,Entertainment,2015-08-11,2015,113,4.0
328869,Meadowland,2015-10-16,2015,105,6.4
308032,The Stanford Prison Experiment,2015-07-17,2015,122,6.8
329829,The Girl King,2015-12-11,2015,106,6.1
330544,Bessie,2015-05-16,2015,107,5.9
299551,The Atticus Institute,2015-01-20,2015,92,5.3
207270,The Hoarder,2015-05-21,2015,86,4.2
307946,I Smile Back,2015-10-23,2015,85,5.7
356905,Oddball,2015-09-17,2015,95,6.1
318279,Meru,2015-01-25,2015,89,6.9
345637,Sanjay's Super Team,2015-11-25,2015,7,6.9
284286,Learning to Drive,2015-08-06,2015,105,5.9
340816,Christmas Eve,2015-12-04,2015,95,5.8
206197,The Sisterhood of Night,2015-04-10,2015,104,6.6
331446,Sharknado 3: Oh Hell No!,2015-07-22,2015,88,4.5
351901,12 Rounds 3: Lockdown,2015-09-11,2015,90,4.5
357681,Hitting the Apex,2015-09-02,2015,138,8.0
333657,Club Life,2015-05-29,2015,90,6.3
336845,Cleveland Abduction,2015-05-02,2015,88,6.3
343795,90 Minutes in Heaven,2015-09-11,2015,121,5.7
294562,Lavalantula,2015-08-08,2015,83,5.6
306197,Unexpected,2015-07-24,2015,90,5.7
297556,Justice League: Throne of Atlantis,2015-01-27,2015,72,6.5
354743,Lady Chatterley's Lover,2015-09-06,2015,89,6.3
157422,The Wicked Within,2015-10-16,2015,91,4.1
316885,Bridgend,2015-01-22,2015,95,5.7
228973,Backcountry,2015-03-20,2015,92,5.8
323967,Walter,2015-03-13,2015,87,5.2
320048,Ratter,2015-01-24,2015,80,5.2
359305,An Inspector Calls,2015-09-13,2015,86,7.8
329004,The Survivalist,2015-04-15,2015,104,6.4
362180,Don't Grow Up,2015-03-11,2015,81,3.9
343284,Night Of The Living Deb,2015-08-29,2015,85,5.7
243752,No Stranger Than Love,2015-04-30,2015,89,4.1
291866,The Hive,2015-09-14,2015,89,5.5
